#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
o__Xanthomonadales	7985	15063	60037	1992	4809	4828	5463	10267	42335	8077	934681	1162117	36716	4266	3645	519	4324	167435	3380	6100	1210	3916	5700	443	1682	5596	1145	902	764	6720	1009	1801	2362	2853	17650	3225	2212	150	5067	2923	1665	814	824	1338	14985	5	949	2126	1596863	1768	2833	832	2516	720	2234	1238	773	28742	28232	864	312042	47950
o__Pseudomonadales	13559	9921	14168	1533	2658	4442	2062	3320	7599	46017	238787	33280	177931	10417	7108	1115	19487	29650	2177	2842	1807	4258	3916	625	1435	3750	3047	618	2744	18830	3897	905	2371	7698	15272	2001	2320	151	5336	3244	1319	996	4488	2033	17066	9	2965	7404	27882	1514	2770	917	3023	447	1177	1837	1140	31358	24619	1109	330427	64142
o__Schizosaccharomycetales	34	66	17	6837	2896	1054	109	151	136	218	98	24	14	42	149	274	107	11	535	163	34	16	20	115	2630	2527	460	882	120	29	104	80	307	55	20	445	178	0	281	552	517	12	1499	575	456	2	685	1490	56	116	291	3	1	2	0	98	58	228	17	14	21	31
o__Bartheletiales	12	10	4	14	1	0	12	0	77	41	4	0	0	9	13	145	6	4	24	35	0	0	0	0	23	5	4	2	102	21	68	30	0	7	6	0	2	0	0	3	0	0	7	4	1	0	2	0	1	0	0	0	0	0	0	0	1	27	0	0	0	0
o__Trichomonadida	1	19	2	13	16	8	2	9	14	5	4	3	2	2	7	20	15	0	15	13	3	0	0	0	10	9	11	8	11	0	20	14	0	7	5	10	5	0	4	5	7	10	25	9	2	0	6	7	8	34	44	0	1	7	2	2	0	6	6	7	0	13
o__Ortervirales	0	0	3	6	58	17	2	32	3	2	2	4	0	5	4	6	2	4	1	26	48	0	23	13	15	20	9	6	19	18	2	14	0	32	4	40	18	0	20	16	8	3	1	1	44	0	1	2	1	8	4	0	0	2	4	1	7	7	5	0	4	0
o__Chimaeriformes	3	11	0	5	10	0	1	6	4	4	0	1	0	2	5	16	4	0	2	9	163	0	5	22	3	20	4	14	24	3	6	61	15	8	1	29	12	2	27	12	13	2	2	5	4832	0	0	5	2	13	11	3	2	2	4	0	115	4	5	39	0	0
o__Acanthopleuribacterales	5	53	21	23	28	13	7	58	11	40	33	106	20	51	33	18	24	5	49	64	18	82	82	4	45	48	14	9	12	16	16	17	73	11	15	45	31	0	61	68	17	34	22	6	12	0	9	20	115	34	18	34	73	2	10	191	16	26	18	54	65	38
o__Dimargaritales	9	28	3	141	56	22	3	12	12	10	4	6	0	7	5	19	7	6	33	22	1	0	4	1	52	48	17	21	16	2	19	14	1	21	5	12	4	0	7	17	17	11	33	13	5	0	23	28	5	3	10	0	0	0	0	1	0	16	4	19	0	2
o__Trichoptera	0	0	0	2	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	7	0	6	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Microbotryales	71	214	56	207	118	24	72	29	557	240	53	8	13	173	151	785	209	136	421	311	5	2	5	10	159	137	68	64	552	171	777	221	2	159	55	102	29	0	67	37	44	1	127	68	24	0	55	41	8	32	57	0	1	37	17	3	2	301	35	4	4	12
o__Methanonatronarchaeales	3	3	0	23	33	456	2	7	0	18	1	5	20	8	8	2	1	0	0	0	6	1	4	54	66	2	8	243	0	2	0	0	63	0	0	55	46	0	2	56	18	188	2	0	6	2	1	8	0	2	3	0	0	580	734	55	28	0	6	161	28	4
o__Isosphaerales	1512	4381	2716	7611	7607	1933	445	7907	1363	2019	569	852	518	5574	4560	1099	3398	512	30113	21939	717	1776	31957	213	20527	27193	6163	3625	2325	2307	1226	4775	852	2557	1571	6996	5815	33	14552	5154	2962	236	962	1051	153	4	3737	3742	1599	4291	2832	338	1222	343	875	916	348	853	417	378	327	452
o__Apiales	2	24	8	21	221	4	0	69	13	41	4	9	12	9	18	22	9	0	60	122	2	4	6	0	24	83	22	26	78	34	57	72	2	95	70	116	87	0	121	36	40	1	18	8	5	0	10	22	4	13	0	2	0	3	14	0	5	8	7	6	1	0
o__Cycadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	5	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
o__Esociformes	0	5	0	2	0	0	1	1	0	0	0	0	0	3	4	10	1	0	19	5	0	0	0	0	4	3	4	5	4	4	15	8	5	13	3	1	1	0	1	1	1	0	5	5	2	0	5	2	0	0	5	0	2	0	0	4	0	2	0	0	0	0
o__Porphyridiales	9	49	12	36	42	19	2	21	27	31	3	12	1	18	19	60	13	3	42	38	8	133	26	0	24	37	20	20	42	22	35	17	30	26	9	75	32	5	34	80	84	27	30	12	9	0	17	19	22	15	24	11	22	10	9	46	11	19	4	46	13	19
